Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
AIZ,AIZ,Insurance - Diversified,95.77,10.145127,0.02450618,6.17,111.43,82.31,5887431680,11.039,0.66490096,1.0862956,
COTY,COTY,Household & Personal Products,12.12,17.070423,0.042625748,0.62,14.87,5.91,9106944000,12.704,1.0310721,1.2146723,
NWSA,NWSA,Broadcasting - TV,11.52,26.18182,0.017452007,0.47,16.35,10.65,6768288256,7.116,0.6570516,0.7255779,
JWN,JWN,Department Stores,38.05,9.560301,0.039361704,3.61,67.75,37.045,5895961088,4.962,0.37175038,6.869471,
DISCA,DISCA,Media - Diversified,27.74,7.00505,,2.79,34.89,20.6,19832324096,7.58,1.8106751,2.275076,
MAC,MAC,REIT - Retail,42.07,113.7027,0.07165184,0.7000000000000001,60.95,39.71,6380083712,18.085,6.2689414,2.0827763,
UAA,UAA,Apparel Manufacturing,21.63,43.26,,0.31,24.96,16.52,9087065088,28.5,1.7433095,4.758029,
FLR,FLR,Engineering & Construction,29.91,10.797834,0.028445646,1.58,60.6,28,4185216768,6.16,0.22579373,1.419419,
MAT,MAT,Leisure,11.32,125.77777,0,-0.78,17.98,9.09,3910210816,26.172,0.8705364,7.5416384,
UA,UA,Apparel Manufacturing,19.13,36.78846,,0.31,23.28,15.05,9106682880,25.462,1.747073,4.208095,
NWS,NWS,Broadcasting - TV,11.65,,0.017271157,,16.68,10.85,6770700288,7.183,0.65728575,0.7337658,
